"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка что находимся на странице корзины, взаимодействие с продуктами","1021","Успешный логин,добавление 2ух продуктов, переход на страницу корзины, удаление 1 продуктаи проверка что в корзине 1 товар","Sauce Demo","Tue May 26 17:51:46 UTC 2026","passed","Tue May 26 17:51:47 UTC 2026","tests.CartTest","Edge","tests.CartTest","checkDelProduct"
"Проверка что находимся на странице корзины","4075","Успешный логин, переход на страницу корзины и проверка что находимся на страницы корзины","Sauce Demo","Tue May 26 17:51:38 UTC 2026","passed","Tue May 26 17:51:42 UTC 2026","tests.CartTest","Edge","tests.CartTest","cartPageTest"
"Проверка что находимся на странице продуктов, переход из корзины","846","Успешный логин, переход на страницу корзины, клик по кнопке возврата на страницу продуктов","Sauce Demo","Tue May 26 17:51:42 UTC 2026","passed","Tue May 26 17:51:43 UTC 2026","tests.CartTest","Edge","tests.CartTest","checkButtonBackToProduct"
"Проверка что находимся на странице чекаута","871","Успешный логин, переход на страницу, клик по кнопке чекаута, проверка перехода","Sauce Demo","Tue May 26 17:51:43 UTC 2026","passed","Tue May 26 17:51:44 UTC 2026","tests.CartTest","Edge","tests.CartTest","checkCkeck"
"Проверка логина с валидными кредами","1066","Логин с валидными кредами","Sauce Demo","Tue May 26 17:51:06 UTC 2026","passed","Tue May 26 17:51:07 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositive"
"Проверка что находимся на странице продуктов, переход из корзины","997","Успешный логин,добавление 2ух продуктов, переход на страницу корзины и проверка что успешно переходим на страницу продукта","Sauce Demo","Tue May 26 17:51:45 UTC 2026","passed","Tue May 26 17:51:46 UTC 2026","tests.CartTest","Edge","tests.CartTest","checkClicklProductInCart"
"Проверка логина с не валидными кредами","544","Ввод невалидный значений с помощью метода датапровайдер","Sauce Demo","Tue May 26 17:51:08 UTC 2026","passed","Tue May 26 17:51:09 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка логина с не валидными кредами","550","Ввод невалидный значений с помощью метода датапровайдер","Sauce Demo","Tue May 26 17:51:08 UTC 2026","passed","Tue May 26 17:51:08 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
